region,percentage_share_consumption,_2020_total,avg_w_per_capita_2019,avg_2019_new,gdp_per_capita,gdp_net,gdp_per_capita_total_generation_ratio,gdp_w_per_capita_ratio,gdp_net_total_generation_ratio
Africa,1.6500000000000001,9272,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784
Asia,4.2239130434782615,418954,92.0,3382.5652173913045,8632.0,39781.0,0.020603693961628245,93.82608695652173,0.09495314521403304
Australia,10.7,17769,637.0,862.0,63842.0,2097.0,3.5928864877033035,100.22291993720565,0.11801451966908662
Europe,4.533870967741937,162668,164.70967741935485,850.0967741935484,36751.0,27096.0,0.22592642683256695,223.1259302781042,0.16657240514422014
North America,5.05,86316,101.75,1803.6666666666667,64961.0,34007.0,0.7525951156216693,638.4373464373465,0.39398257565225453
South America,5.3999999999999995,12664,82.0,577.5714285714286,11242.0,4225.0,0.8877132027795326,137.09756097560975,0.3336228679722047
