permit_name,megawatts,total_acres,disturbance_zone_acres,mitigation_plan,city/county,brownfield_site,noi_received,application_received,pbr_authorization_letter,construction_commenced,commercial_operation_commenced
Waller Solar,131.0,"2,764","1,200",YES,Lancaster County,No,6/7/21,1/6/23,3/27/23,,
"Water Strider Solar, LLC",80.0,"1,196","1,042",YES,Halifax County,No,10/16/17,10/25/18,4/30/19,4/8/20,5/15/21
"Watlington Solar, LLC",20.0,220,140,No,Halifax County,No,6/17/20,1/5/21,3/17/21,,
Waverly I Solar,50.0,"2,992","1,177",YES,Sussex County,No,3/28/22,6/27/22,10/5/22,6/1/23,3/14/24
Waverly II Solar,68.0,"1,700",438,YES,Sussex County,No,4/25/22,12/5/22,3/3/23,6/7/23,3/14/24
Westmoreland County Solar Project,20.0,161,100,No,Westmoreland County,No,9/21/18,11/4/19,1/28/20,,10/1/21
Whitehorn Solar LLC,50.0,704,410,No,Pittsylvania County,No,6/10/19,2/3/20,4/22/20,9/24/20,12/1/21
Windsor Solar,85.0,"1,398",529,YES,Isle of Wight County,No,11/2/22,4/14/23,12/6/23,,
Woodridge Solar,138.0,"2,265",850,YES,Albemarle County,No,1/20/23,5/23/24,7/23/24,,
"Wythe County Solar Project, LLC",75.0,858,844,No,Wythe County,No,11/21/19,7/23/20,9/22/20,,
